Ekvipasje,Snitt 2021,Snitt 2022,Snitt 2023,Snitt 2024,Median 2021,Median 2022,Median 2023,Median 2024,Min 2021,Min 2022,Min 2023,Min 2024,Max 2021,Max 2022,Max 2023,Max 2024
3-akslet trekkvogn med 4-akslet tilhenger,34.533186469585,32.464523986458595,33.1063883259019,,35.2,31.7,32.82,,20.0,20.0,20.0,,52.4,69.8,70.46,
3-akslet trekkvogn med 5-akslet tilhenger,34.88899632802938,36.264861306615884,37.5786527546867,,34.29,36.4,38.2,,20.39,20.0,20.0,,64.0,67.3,67.7,
4-akslet trekkvogn med 4-akslet tilhenger,35.22235294117648,37.661515513126496,36.622440537745604,,33.31,35.66,35.29,,23.54,20.04,20.12,,52.88,72.7,73.36,
4-akslet trekkvogn med 5-akslet tilhenger,33.9875,37.4466269165247,32.97152121697358,,34.595,35.7,31.95,,21.59,21.0,20.0,,49.78,79.02,62.42,
