Ekvipasje,Snitt 2021,Snitt 2022,Snitt 2023,Snitt 2024,Median 2021,Median 2022,Median 2023,Median 2024,Min 2021,Min 2022,Min 2023,Min 2024,Max 2021,Max 2022,Max 2023,Max 2024
3-akslet trekkvogn med 4-akslet tilhenger,18.17605173393974,18.060738171909833,18.56713417105797,,18.39,17.6,18.04,,8.34,9.07,9.4,,30.17,34.44,40.0,
3-akslet trekkvogn med 5-akslet tilhenger,19.288567931456555,20.19979045883717,21.458364960155933,,19.0,20.2,21.805,,10.1,5.5,10.01,,31.76,34.68,34.9,
4-akslet trekkvogn med 4-akslet tilhenger,18.034117647058824,19.846008353221958,20.928971044467424,,18.065,18.01,20.4,,9.75,9.75,10.27,,24.29,41.54,36.49,
4-akslet trekkvogn med 5-akslet tilhenger,22.02241379310345,21.638558875219687,20.39624047417443,,22.03,21.26,20.2,,13.83,8.35,8.32,,28.97,37.55,33.8,
