Ekvipasje,Snitt 2021,Snitt 2022,Snitt 2023,Snitt 2024,Median 2021,Median 2022,Median 2023,Median 2024,Min 2021,Min 2022,Min 2023,Min 2024,Max 2021,Max 2022,Max 2023,Max 2024
3-akslet trekkvogn med 4-akslet tilhenger,0.4204580152671755,0.4450185873605948,0.42530120481927713,,0.42,0.44,0.44,,0.19,0.25,0.0,,0.56,0.59,0.59,
3-akslet trekkvogn med 5-akslet tilhenger,0.19327731092436976,0.19760683760683762,0.212512077294686,,0.19,0.19,0.21,,0.08,0.09,0.08,,0.26,0.27,0.29,
4-akslet trekkvogn med 4-akslet tilhenger,0.24088235294117652,0.21843899521531102,0.21983307250912884,,0.24,0.22,0.23,,0.11,0.07,0.02,,0.3,0.33,0.34,
4-akslet trekkvogn med 5-akslet tilhenger,0.24396551724137933,0.24025423728813564,0.26879518072289155,,0.235,0.23,0.27,,0.11,0.09,0.08,,0.34,0.35,0.4,
