Ekvipasje,Snitt 2021,Snitt 2022,Snitt 2023,Snitt 2024,Median 2021,Median 2022,Median 2023,Median 2024,Min 2021,Min 2022,Min 2023,Min 2024,Max 2021,Max 2022,Max 2023,Max 2024
3-akslet trekkvogn med 4-akslet tilhenger,4.718990903922684,4.899813392783421,4.981479529793272,,4.69,4.8,4.9,,2.78,2.93,2.9,,7.23,7.3,7.72,
3-akslet trekkvogn med 5-akslet tilhenger,4.962858017135864,5.06955192976644,5.238174912572378,,4.98,5.02,5.2,,2.99,1.36,2.8,,6.95,7.67,8.49,
4-akslet trekkvogn med 4-akslet tilhenger,4.67441176470588,4.749212410501194,5.276062176165803,,4.75,4.78,5.3,,2.56,2.1,2.46,,6.46,8.91,7.24,
4-akslet trekkvogn med 5-akslet tilhenger,5.860603448275863,5.719955908289242,5.675622353937341,,5.825,5.71,5.7,,3.79,2.76,2.88,,7.48,7.7,9.06,
