Ekvipasje,Snitt 2021,Snitt 2022,Snitt 2023,Snitt 2024,Median 2021,Median 2022,Median 2023,Median 2024,Min 2021,Min 2022,Min 2023,Min 2024,Max 2021,Max 2022,Max 2023,Max 2024
3-akslet trekkvogn med 4-akslet tilhenger,1.2391614553723707,1.2713756089505406,1.2894219700040535,,1.23,1.25,1.26,,0.7,0.8,0.73,,1.85,1.87,1.94,
3-akslet trekkvogn med 5-akslet tilhenger,1.2593390452876378,1.2771964551929766,1.3153425442871065,,1.25,1.26,1.3,,0.75,0.39,0.73,,1.9,2.26,2.22,
4-akslet trekkvogn med 4-akslet tilhenger,1.2776470588235298,1.324128878281623,1.43535677352637,,1.3,1.34,1.45,,0.66,0.53,0.64,,1.61,2.71,2.15,
4-akslet trekkvogn med 5-akslet tilhenger,1.6131896551724134,1.3951192504258945,1.5085108086469177,,1.62,1.33,1.54,,1.05,0.92,0.75,,2.2,2.16,2.52,
