År,Måned,Snitt Max vekt
2021,11,60243.0
2021,12,65278.5
2022,1,66590.0
2022,2,64091.42857142857
2022,3,66835.23809523809
2022,4,68762.28320665183
2022,5,58722.594444092894
2022,6,67981.07914775786
2022,7,65216.26165390737
2022,8,44329.23121623658
2022,9,48288.48451215821
2022,10,45194.614932923796
2022,11,47973.91705069124
2022,12,69093.96572435333
2023,1,72635.5506819684
2023,2,72547.41493465369
2023,3,72588.19388688687
2023,4,71173.14405732641
2023,5,48174.72811577912
2023,6,56945.26642046953
2023,7,50651.149199213265
2023,8,57893.365451590435
2023,9,55221.4194464159
2023,10,51323.72826626925
2023,11,69343.60326762564
2023,12,74362.15305969027
