År,Måned,Snitt kapasitetsutnyttelse
2021,7,101.76446934739619
2021,8,99.84280732345248
2021,9,101.9293873873874
2021,11,101.51997155049787
2021,12,102.46805896805897
2022,1,102.80509988249118
2022,2,105.72702702702703
2022,3,101.81621621621622
2022,5,102.11762466692045
2022,6,104.04961650840028
2022,7,103.57890649269959
2022,8,100.59215835553863
2022,10,103.59294294294294
2023,3,102.72702702702703
2023,4,100.67837837837838
2023,5,23.324324324324326
2023,6,23.324324324324326
2023,7,23.324324324324326
2023,8,23.324324324324326
2023,9,23.324324324324326
2023,10,24.913380046713378
2023,11,24.1409379451019
2023,12,23.324324324324326
