Bin Edge Start,Bin Edge End,Count
15600.0,17251.933333333334,30
17251.933333333334,18903.86666666667,0
18903.86666666667,20555.8,0
20555.8,22207.733333333334,0
22207.733333333334,23859.666666666668,0
23859.666666666668,25511.6,0
25511.6,27163.533333333333,0
27163.533333333333,28815.466666666667,0
28815.466666666667,30467.4,0
30467.4,32119.333333333336,0
32119.333333333336,33771.26666666666,0
33771.26666666666,35423.2,0
35423.2,37075.13333333333,0
37075.13333333333,38727.066666666666,0
38727.066666666666,40379.0,0
40379.0,42030.933333333334,0
42030.933333333334,43682.86666666667,0
43682.86666666667,45334.8,0
45334.8,46986.73333333334,0
46986.73333333334,48638.66666666667,0
48638.66666666667,50290.6,0
50290.6,51942.53333333333,0
51942.53333333333,53594.46666666667,0
53594.46666666667,55246.4,0
55246.4,56898.333333333336,0
56898.333333333336,58550.26666666667,0
58550.26666666667,60202.200000000004,0
60202.200000000004,61854.13333333333,0
61854.13333333333,63506.066666666666,1
63506.066666666666,65158.0,2
