År,Måned,Snitt Max vekt
2021,7,71250.90852713179
2021,8,72988.12075471698
2021,9,75458.76135862373
2021,10,74946.55212121212
2021,11,73578.27133934767
2021,12,74388.54127781765
2022,1,74046.3904502871
2022,2,75639.01492537314
2022,3,75757.07134316461
2022,4,74992.43547742709
2022,5,74226.45947289905
2022,6,76704.83491515674
2022,7,70372.19686474663
2022,8,75658.32398591365
2022,9,75199.47393087287
2022,10,75993.7144078666
2022,11,74844.9484735907
2022,12,74734.39459261966
2023,1,66558.45387755102
2023,2,73912.10868281158
2023,3,76045.5115095343
2023,4,74368.21312444576
2023,5,75772.81632183908
2023,6,75684.19160085615
2023,7,74578.04544210238
2023,8,72536.77210951349
2023,9,72593.79665764168
2023,10,72935.7197204969
2023,11,75686.60584315736
2023,12,76777.03159173754
