År,Måned,Snitt kapasitetsutnyttelse
2022,4,95.52706590536893
2022,5,84.31888915152743
2022,6,99.55549768952167
2022,7,97.81826177416305
2022,8,95.10537678218178
2022,9,97.79138629245375
2022,10,94.34556021732473
2022,11,100.05998215750537
2022,12,101.345251697464
2023,1,103.20174503813317
2023,2,103.79132048839823
2023,3,100.73250061722187
2023,4,100.95305277233962
2023,5,90.51421461418737
2023,6,101.35735614103636
2023,7,99.1710842908296
2023,8,103.10190217391305
2023,9,102.03152890073189
2023,10,101.51747199891226
2023,11,102.87832817337461
2023,12,97.96366302753788
