År,Måned,Snitt Max vekt
2021,7,75305.70731707317
2021,8,73883.67741935483
2021,9,75427.74666666667
2021,11,75124.77894736842
2021,12,75826.36363636363
2022,1,76075.77391304348
2022,2,78238.0
2022,3,75344.0
2022,5,75567.04225352113
2022,6,76996.71621621621
2022,7,76648.3908045977
2022,8,74438.19718309859
2022,10,76658.77777777778
2023,3,76018.0
2023,4,74502.0
2023,5,17260.0
2023,6,17260.0
2023,7,17260.0
2023,8,17260.0
2023,9,17260.0
2023,10,18435.9012345679
2023,11,17864.294079375406
2023,12,17260.0
