År,Måned,Snitt Max vekt
2021,7,63752.21459227468
2021,8,63639.61607142857
2021,9,64406.06717850288
2021,10,64474.65992414665
2021,11,64052.71698113208
2021,12,61122.71635610766
2022,1,64138.04956463497
2022,2,63331.68545356951
2022,3,63754.99137931035
2022,4,63999.12767527675
2022,5,67033.97039827771
2022,6,66619.5368053535
2022,7,70539.15338645419
2022,8,64623.602088772845
2022,9,65689.25925925926
2022,10,65020.269662921346
2022,11,66510.84518828453
2022,12,65272.11095305832
2023,1,67311.27496917386
2023,2,63546.02105263158
2023,3,66829.69791666667
2023,4,60161.739332816134
2023,5,51314.90984628168
2023,6,25308.85849719101
2023,7,20048.102052862858
2023,8,25742.775361438464
2023,9,20975.95881095784
2023,10,22881.64104410441
2023,11,17449.899351218657
2023,12,17523.666321672532
