År,Måned,Snitt kapasitetsutnyttelse
2021,7,96.28501152315107
2021,8,98.6325956144824
2021,9,101.97129913327532
2021,10,101.27912448812448
2021,11,99.43009640452388
2021,12,100.52505578083466
2022,1,100.06268979768527
2022,2,102.21488503428802
2022,3,102.37442073400625
2022,4,101.34112902355012
2022,5,100.30602631472844
2022,6,103.65518231777938
2022,7,95.0975633307387
2022,8,102.24097835934278
2022,9,101.62091071739579
2022,10,102.69420865927918
2022,11,101.14182226160906
2022,12,100.99242512516172
2023,1,89.94385659128515
2023,2,99.88122794974538
2023,3,102.76420474261391
2023,4,100.49758530330509
2023,5,102.39569773221497
2023,6,102.27593459575155
2023,7,100.78114248932752
2023,8,98.02266501285607
2023,9,98.0997252130293
2023,10,98.56178340607688
2023,11,102.27919708534779
2023,12,103.75274539423991
