Bin Edge Start,Bin Edge End,Count
17260.0,19576.933333333334,2
19576.933333333334,21893.86666666667,0
21893.86666666667,24210.8,0
24210.8,26527.733333333334,0
26527.733333333334,28844.666666666668,0
28844.666666666668,31161.6,0
31161.6,33478.53333333333,0
33478.53333333333,35795.46666666667,0
35795.46666666667,38112.4,0
38112.4,40429.333333333336,0
40429.333333333336,42746.26666666666,0
42746.26666666666,45063.2,0
45063.2,47380.13333333333,0
47380.13333333333,49697.066666666666,0
49697.066666666666,52014.0,0
52014.0,54330.933333333334,0
54330.933333333334,56647.86666666667,0
56647.86666666667,58964.8,0
58964.8,61281.73333333334,0
61281.73333333334,63598.66666666667,3
63598.66666666667,65915.6,1
65915.6,68232.53333333333,4
68232.53333333333,70549.46666666667,29
70549.46666666667,72866.4,26
72866.4,75183.33333333334,115
75183.33333333334,77500.26666666666,368
77500.26666666666,79817.20000000001,65
79817.20000000001,82134.13333333333,13
82134.13333333333,84451.06666666667,2
84451.06666666667,86768.0,11
