Bin Edge Start,Bin Edge End,Count
15320.0,17642.666666666668,5
17642.666666666668,19965.333333333332,1
19965.333333333332,22288.0,9
22288.0,24610.666666666664,6
24610.666666666664,26933.333333333332,7
26933.333333333332,29256.0,11
29256.0,31578.666666666664,5
31578.666666666664,33901.33333333333,31
33901.33333333333,36224.0,16
36224.0,38546.666666666664,13
38546.666666666664,40869.33333333333,12
40869.33333333333,43192.0,16
43192.0,45514.666666666664,13
45514.666666666664,47837.33333333333,17
47837.33333333333,50160.0,12
50160.0,52482.666666666664,11
52482.666666666664,54805.33333333333,6
54805.33333333333,57128.0,5
57128.0,59450.666666666664,10
59450.666666666664,61773.33333333333,18
61773.33333333333,64096.0,34
64096.0,66418.66666666666,43
66418.66666666666,68741.33333333333,78
68741.33333333333,71064.0,169
71064.0,73386.66666666666,94
73386.66666666666,75709.33333333333,17
75709.33333333333,78032.0,16
78032.0,80354.66666666666,7
80354.66666666666,82677.33333333333,7
82677.33333333333,85000.0,6
