Bin Edge Start,Bin Edge End,Count
15600.0,17480.0,19
17480.0,19360.0,0
19360.0,21240.0,0
21240.0,23120.0,0
23120.0,25000.0,0
25000.0,26880.0,0
26880.0,28760.0,1
28760.0,30640.0,0
30640.0,32520.0,0
32520.0,34400.0,0
34400.0,36280.0,0
36280.0,38160.0,0
38160.0,40040.0,0
40040.0,41920.0,0
41920.0,43800.0,0
43800.0,45680.0,0
45680.0,47560.0,0
47560.0,49440.0,0
49440.0,51320.0,0
51320.0,53200.0,0
53200.0,55080.0,0
55080.0,56960.0,0
56960.0,58840.0,0
58840.0,60720.0,0
60720.0,62600.0,3
62600.0,64480.0,4
64480.0,66360.0,7
66360.0,68240.0,9
68240.0,70120.0,0
70120.0,72000.0,1
