År,Måned,Snitt kapasitetsutnyttelse
2021,11,121.75878787878787
2021,12,111.55666666666669
2022,2,99.26166666666667
2022,3,9.343333333333334
2022,5,103.79666666666667
2022,7,104.37780045351475
2022,8,98.90830107526882
2022,9,108.69333333333333
2022,11,104.30583333333334
2022,12,107.09072463768116
2023,1,107.73432432432432
2023,2,105.89966666666668
2023,3,104.22333333333333
2023,5,105.87833333333334
2023,7,88.13913580246914
2023,8,72.2156007751938
2023,9,35.87161290322581
2023,10,52.99133986928104
2023,11,107.43167670682732
2023,12,108.66503928170597
