År,Måned,Snitt kapasitetsutnyttelse
2021,11,88.59264705882353
2021,12,95.99779411764706
2022,1,97.92647058823529
2022,2,94.25210084033614
2022,3,98.28711484593838
2022,4,101.12100471566445
2022,5,86.35675653543073
2022,6,99.97217521729097
2022,7,95.90626713809908
2022,8,65.19004590623027
2022,9,71.01247722376208
2022,10,66.46266901900559
2022,11,70.54987801572241
2022,12,101.60877312404901
2023,1,106.81698629701235
2023,2,106.68737490390248
2023,3,106.74734395130423
2023,4,104.66638831959767
2023,5,70.84518840555754
2023,6,83.74303885363167
2023,7,74.48698411649009
2023,8,85.13730213469182
2023,9,81.20796977414103
2023,10,75.47607097980773
2023,11,101.97588715827301
2023,12,109.35610744072099
