Bin Edge Start,Bin Edge End,Count
13500.0,15750.0,3
15750.0,18000.0,8
18000.0,20250.0,6
20250.0,22500.0,6
22500.0,24750.0,6
24750.0,27000.0,17
27000.0,29250.0,34
29250.0,31500.0,3
31500.0,33750.0,8
33750.0,36000.0,8
36000.0,38250.0,3
38250.0,40500.0,3
40500.0,42750.0,2
42750.0,45000.0,2
45000.0,47250.0,16
47250.0,49500.0,1
49500.0,51750.0,5
51750.0,54000.0,1
54000.0,56250.0,5
56250.0,58500.0,3
58500.0,60750.0,4
60750.0,63000.0,20
63000.0,65250.0,45
65250.0,67500.0,36
67500.0,69750.0,107
69750.0,72000.0,137
72000.0,74250.0,45
74250.0,76500.0,3
76500.0,78750.0,0
78750.0,81000.0,3
