Bin Edge Start,Bin Edge End,Count
20000.0,21528.866666666665,1
21528.866666666665,23057.733333333334,0
23057.733333333334,24586.6,0
24586.6,26115.466666666667,0
26115.466666666667,27644.333333333332,0
27644.333333333332,29173.199999999997,0
29173.199999999997,30702.066666666666,0
30702.066666666666,32230.933333333334,0
32230.933333333334,33759.8,0
33759.8,35288.666666666664,0
35288.666666666664,36817.53333333333,0
36817.53333333333,38346.399999999994,0
38346.399999999994,39875.26666666666,0
39875.26666666666,41404.13333333333,0
41404.13333333333,42933.0,0
42933.0,44461.86666666667,0
44461.86666666667,45990.73333333333,2
45990.73333333333,47519.6,0
47519.6,49048.46666666666,0
49048.46666666666,50577.33333333333,1
50577.33333333333,52106.2,0
52106.2,53635.066666666666,0
53635.066666666666,55163.933333333334,0
55163.933333333334,56692.799999999996,0
56692.799999999996,58221.666666666664,0
58221.666666666664,59750.53333333333,0
59750.53333333333,61279.399999999994,1
61279.399999999994,62808.26666666666,1
62808.26666666666,64337.13333333333,6
64337.13333333333,65866.0,4
