År,Måned,Snitt kapasitetsutnyttelse
2021,7,102.08708484604006
2021,8,101.95188597895981
2021,9,102.8243376550169
2021,10,103.45353608757499
2021,11,102.54592783131658
2021,12,101.66281405629232
2022,1,101.76861065463912
2022,2,103.33252656282235
2022,3,103.65721150163306
2022,4,103.0981805622915
2022,5,102.84077766217425
2022,6,104.83288970977038
2022,7,101.8946231946232
2022,8,103.63407906621273
2022,9,102.82006164718265
2022,10,104.89140713747453
2022,11,103.24759106933021
2022,12,102.09153179247315
2023,1,96.92091437231623
2023,2,101.34958706059625
2023,3,103.30128334839902
2023,4,101.86416486962673
2023,5,102.97910971883364
2023,6,103.87773876201784
2023,7,102.43811271260934
2023,8,99.86788915278332
2023,9,100.42637682154836
2023,10,100.19380850115482
2023,11,104.6443777651233
2023,12,105.51872613872612
