År,Måned,Snitt Max vekt
2021,7,63593.0
2021,8,63136.0
2021,9,63440.10526315789
2021,10,63893.555555555555
2021,11,65443.717908082406
2021,12,63592.34335337341
2022,1,62739.52
2022,2,62164.191763596355
2022,3,61667.34829779274
2022,4,62518.29675665178
2022,5,61758.10821934391
2022,6,64952.77268524633
2022,7,64316.98335710889
2022,8,63902.138590991584
2022,9,64173.17583761311
2022,10,64174.59292237443
2022,11,63580.24183658919
2022,12,68112.3526670754
2023,1,65169.95564795565
2023,2,65141.15121490918
2023,3,64025.64540713999
2023,4,63403.99201397554
2023,5,62537.699425056824
2023,6,64257.55522672022
2023,7,62301.18029739777
2023,8,63654.28298526793
2023,9,57410.70165208941
2023,10,62846.890737902344
2023,11,66362.20653921744
2023,12,65604.15333333334
