Bin Edge Start,Bin Edge End,Count
66992.0,67328.6,1
67328.6,67665.2,0
67665.2,68001.8,0
68001.8,68338.4,0
68338.4,68675.0,0
68675.0,69011.6,0
69011.6,69348.2,0
69348.2,69684.8,0
69684.8,70021.4,1
70021.4,70358.0,0
70358.0,70694.6,1
70694.6,71031.2,0
71031.2,71367.8,0
71367.8,71704.4,1
71704.4,72041.0,0
72041.0,72377.6,0
72377.6,72714.2,0
72714.2,73050.8,0
73050.8,73387.4,0
73387.4,73724.0,0
73724.0,74060.6,0
74060.6,74397.2,0
74397.2,74733.8,0
74733.8,75070.4,0
75070.4,75407.0,0
75407.0,75743.6,2
75743.6,76080.2,0
76080.2,76416.8,0
76416.8,76753.4,1
76753.4,77090.0,1
