Bin Edge Start,Bin Edge End,Count
56056.0,57087.13333333333,1
57087.13333333333,58118.26666666667,0
58118.26666666667,59149.4,0
59149.4,60180.53333333333,1
60180.53333333333,61211.666666666664,2
61211.666666666664,62242.8,9
62242.8,63273.933333333334,13
63273.933333333334,64305.066666666666,22
64305.066666666666,65336.2,17
65336.2,66367.33333333333,10
66367.33333333333,67398.46666666667,2
67398.46666666667,68429.6,4
68429.6,69460.73333333334,1
69460.73333333334,70491.86666666667,2
70491.86666666667,71523.0,0
71523.0,72554.13333333333,0
72554.13333333333,73585.26666666666,0
73585.26666666666,74616.4,0
74616.4,75647.53333333334,0
75647.53333333334,76678.66666666667,0
76678.66666666667,77709.8,0
77709.8,78740.93333333333,0
78740.93333333333,79772.06666666667,0
79772.06666666667,80803.20000000001,0
80803.20000000001,81834.33333333334,0
81834.33333333334,82865.46666666667,0
82865.46666666667,83896.6,0
83896.6,84927.73333333334,0
84927.73333333334,85958.86666666667,0
85958.86666666667,86990.0,1
