Bin Edge Start,Bin Edge End,Count
7220.0,9871.6,8
9871.6,12523.2,0
12523.2,15174.8,1
15174.8,17826.4,6
17826.4,20478.0,16
20478.0,23129.6,8
23129.6,25781.2,29
25781.2,28432.8,68
28432.8,31084.399999999998,5
31084.399999999998,33736.0,9
33736.0,36387.6,3
36387.6,39039.2,1
39039.2,41690.799999999996,1
41690.799999999996,44342.4,0
44342.4,46994.0,59
46994.0,49645.6,0
49645.6,52297.2,0
52297.2,54948.799999999996,0
54948.799999999996,57600.4,1
57600.4,60252.0,0
60252.0,62903.6,3
62903.6,65555.2,8
65555.2,68206.79999999999,11
68206.79999999999,70858.4,42
70858.4,73510.0,41
73510.0,76161.59999999999,343
76161.59999999999,78813.2,247
78813.2,81464.8,20
81464.8,84116.4,5
84116.4,86768.0,13
