År,Måned,Snitt Max vekt
2022,4,64958.404815650865
2022,5,57336.844623038654
2022,6,67697.73842887474
2022,7,66516.41800643087
2022,8,64671.6562118836
2022,9,66498.14267886855
2022,10,64154.980947780816
2022,11,68040.78786710366
2022,12,68914.77115427551
2023,1,70177.18662593055
2023,2,70578.0979321108
2023,3,68498.10041971087
2023,4,68648.07588519093
2023,5,61549.66593764741
2023,6,68923.00217590472
2023,7,67436.33731776412
2023,8,70109.29347826086
2023,9,69381.43965249768
2023,10,69031.88095926034
2023,11,69957.26315789473
2023,12,66615.29085872576
