År,Måned,Snitt kapasitetsutnyttelse
2021,7,105.98833333333333
2021,8,105.22666666666667
2021,9,105.73350877192982
2021,10,106.48925925925927
2021,11,109.07286318013736
2021,12,105.98723892228902
2022,1,104.56586666666668
2022,2,103.6069862726606
2022,3,102.77891382965458
2022,4,104.1971612610863
2022,5,102.93018036557318
2022,6,108.25462114207723
2022,7,107.19497226184815
2022,8,106.5035643183193
2022,9,106.95529306268851
2022,10,106.95765487062405
2022,11,105.96706972764866
2022,12,113.52058777845902
2023,1,108.61659274659274
2023,2,108.56858535818196
2023,3,106.70940901190001
2023,4,105.67332002329258
2023,5,104.22949904176137
2023,6,107.09592537786705
2023,7,103.83530049566293
2023,8,106.09047164211323
2023,9,95.68450275348236
2023,10,104.74481789650392
2023,11,110.6036775653624
2023,12,109.34025555555556
