location,startdate,enddate,mean,median,std,5.0-5.2,5.2-5.5,5.5-5.8,5.8-6.0,6.0-6.2,6.2-6.5,6.5-6.8,6.8-7.0,7.0-7.2,7.2-7.5,7.5-7.8,7.8-8.0,8.0-8.2,8.2-8.5,8.5-8.8,8.8-9.0,9.0-9.2,9.2-9.5,9.5-9.8,9.8-10.0
Tangensvingen,2022-10-14,2022-10-20,7.661119298245613,7.63,0.7462590475959442,0,0,0,0,4,3,10,4,14,12,14,16,9,11,8,7,1,1,0,0
Sørbryn,2023-02-21,2023-02-27,7.419701333333333,7.4111,0.8433811212302567,0,2,35,58,92,128,162,166,214,232,219,208,157,110,97,86,47,12,0,0
Tangensvingen,2023-02-21,2023-02-27,6.2390823529411765,6.1721,0.9824677243691741,12,9,13,13,18,14,10,11,14,6,7,5,3,3,0,0,0,0,0,0
Sørbryn,2023-10-16,2023-10-22,6.696663043478262,6.6922999999999995,0.6063151441857594,0,2,1,5,2,6,8,4,9,5,3,1,0,0,0,0,0,0,0,0
Tangensvingen,2023-10-16,2023-10-22,6.765278911564627,6.7404,0.7447292923895453,0,7,9,10,11,18,19,20,13,14,8,12,4,1,1,0,0,0,0,0
Sørbryn,2024-02-12,2024-02-18,6.496157391304347,6.48585,0.7328995269268443,47,77,140,189,168,188,175,200,146,105,84,45,34,0,0,0,0,0,0,0
Tangensvingen,2024-02-26,2024-03-03,6.07143896103896,6.0143,0.9516040229024441,3,7,5,9,9,8,3,5,7,3,3,3,0,0,0,0,0,0,0,0
Sørbryn,2024-04-18,2024-04-24,6.756743444365697,6.7567,0.6246139830219758,0,16,60,93,165,182,183,199,195,135,98,58,27,0,0,0,0,0,0,0
Tangensvingen,2024-04-18,2024-04-24,7.452264615384616,7.5959,0.8009577019333733,0,0,2,4,6,7,10,10,11,13,10,24,12,8,8,5,0,0,0,0
