latitude,longitude
60.626614,11.30177
60.89313,11.601455
61.40363,11.367867
61.422108,11.358957
61.41832,11.358689
61.41815,11.358942
60.89304,11.601545
61.05818,13.321963
61.250805,12.54158
60.92629,11.672474
61.000946,11.557057
60.893097,11.601522
60.89322,11.601835
60.893074,11.601496
61.15573,12.557107
60.89306,11.601484
61.187057,12.19277
60.89312,11.601538
61.058205,13.321926
61.136517,12.105867
60.893036,11.6014185
60.92629,11.672583
60.89307,11.601416
60.86939,11.556002
60.893185,11.601867
60.9,11.601931
61.076042,11.342657
61.417362,11.388714
60.89323,11.601983
61.054092,11.350739
60.87501,11.54327
60.893074,11.601455
61.404667,11.367144
60.884487,11.525455
60.886112,11.522273
60.893024,11.60152
60.87615,11.551063
60.893204,11.601976
60.904137,11.507383
60.893154,11.601922
60.893017,11.601461
60.885666,11.508734
60.854954,11.551288
61.32041,12.239908
60.893143,11.601492
60.854828,11.551085
60.893257,11.601846
61.26975,11.502492
60.893097,11.601475
60.85514,11.551834
60.89306,11.601484
60.87501,11.543286
60.886673,11.569447
61.004997,11.784529
61.11747,12.075659
61.120422,12.089082
61.238087,12.272836
61.320473,12.239948
61.3206,12.239462
61.207733,12.222697
61.184258,12.188703
61.124825,12.104054
61.072014,11.971814
61.00704,11.792265
61.004833,11.784154
60.925564,11.670914
60.920002,11.656797
60.887318,11.555985
60.89119,11.555847
60.908604,11.559988
60.933937,11.551758
60.968273,11.520917
60.96891,11.521481
60.969223,11.521765
60.96913,11.521626
60.968002,11.520753
60.95923,11.522003
60.956512,11.523971
60.95383,11.5259495
60.95066,11.534834
60.940895,11.537922
60.93785,11.540922
60.934704,11.550791
60.925285,11.55317
60.92417,11.558079
60.92095,11.559434
60.91761,11.5667
60.90729,11.559565
60.905666,11.558734
60.903538,11.552567
60.901302,11.555472
60.900562,11.556659
60.891727,11.55582
60.88701,11.556002
60.884342,11.559446
60.85316,11.56887
60.84246,11.585481
60.82301,11.620209
60.820366,11.635824
60.817036,11.6508045
60.80739,11.668284
60.805393,11.688943
60.80489,11.7081785
60.792667,11.722201
60.786213,11.735516
60.759163,11.751339
60.75248,11.756605
60.739037,11.767583
60.726566,11.776312
60.7218,11.800612
60.70931,11.808952
60.707104,11.807603
60.70949,11.80388
60.71879,11.80334
60.718937,11.8037815
60.719177,11.803676
60.718838,11.803412
60.718838,11.803412
60.718838,11.803412
60.718838,11.803412
60.718838,11.803412
60.718468,11.802097
60.709435,11.804089
60.707024,11.807584
60.70914,11.809191
60.73898,11.767666
60.772713,11.741838
60.785946,11.735874
60.79233,11.722555
60.804768,11.709473
60.809536,11.65344
60.819775,11.637886
60.82104,11.623807
60.82488,11.617632
60.836758,11.606196
60.840626,11.591092
60.850727,11.5744295
60.855457,11.567146
60.86695,11.557053
60.871655,11.556336
60.876427,11.555216
60.875706,11.539627
60.8835,11.525797
60.884567,11.51944
60.885803,11.505131
60.876457,11.48703
60.874413,11.458951
60.871517,11.441199
60.859417,11.425158
60.8422,11.366978
60.83789,11.340534
60.836266,11.319876
60.835632,11.301353
60.824875,11.289208
60.822758,11.288466
60.823364,11.27179
60.823154,11.250918
60.822094,11.223333
60.820072,11.202954
60.816708,11.183626
60.80712,11.168316
60.804092,11.152777
60.801987,11.137378
60.80103,11.134584
60.800713,11.123117
60.80026,11.109918
60.805798,11.102903
60.818813,11.089363
60.825344,11.08424
60.84255,11.020687
60.85215,11.000937
60.85282,10.984992
60.854317,10.973412
60.856216,10.967623
60.85924,10.951104
60.871048,10.938777
60.87417,10.923405
60.87516,10.922335
60.874702,10.92377
59.242237,10.256056
60.841568,11.591387
60.844498,11.578533
60.849396,11.567217
60.85492,11.558491
60.859123,11.554668
60.859764,11.552856
60.85868,11.55147
60.85853,11.552815
60.86138,11.555542
60.866943,11.547486
60.87415,11.547529
60.879745,11.549268
60.88027,11.552517
60.88227,11.556315
60.884064,11.562919
60.88582,11.567402
60.8888,11.571075
60.89428,11.578388
60.898792,11.592037
60.90215,11.599475
60.90005,11.608391
60.898067,11.619403
60.895187,11.631862
60.89396,11.648202
60.890926,11.662651
60.889057,11.676958
60.89111,11.688566
60.89514,11.698579
60.896782,11.709983
60.895405,11.719757
60.893913,11.729796
60.893196,11.740248
60.891106,11.746891
60.893326,11.756603
60.894604,11.766594
60.899246,11.769558
60.905132,11.766775
60.910015,11.77308
60.912296,11.784104
60.915367,11.787642
60.920166,11.785635
60.924767,11.780768
60.929752,11.77915
60.93481,11.777997
60.93858,11.775412
60.939045,11.775162
60.939167,11.774685
60.939552,11.774837
60.941628,11.773554
60.943016,11.763948
60.943413,11.749385
60.941204,11.736256
60.93532,11.73008
60.934162,11.717288
60.933857,11.700397
60.932327,11.681639
60.929344,11.671485
60.920635,11.657872
60.912533,11.640094
60.907135,11.617786
60.902355,11.598945
60.89568,11.583778
60.889557,11.572247
60.885586,11.567262
60.88382,11.5609
60.882786,11.5578785
60.88121,11.5534935
60.879993,11.552383
60.877502,11.548977
60.87053,11.544599
60.863705,11.552446
60.859077,11.554825
60.85879,11.55178
60.858463,11.552796
60.861618,11.555425
60.867188,11.54721
60.87415,11.547524
60.87959,11.549256
60.88075,11.552326
60.88313,11.558648
60.88531,11.566715
60.889305,11.571983
60.894894,11.580758
60.899757,11.594067
60.902054,11.599592
60.899513,11.611415
60.89597,11.624826
60.894302,11.641537
60.892902,11.656008
60.890305,11.668034
60.8887,11.68221
60.891815,11.691355
60.89534,11.699879
60.89668,11.71035
60.895527,11.71406
60.895454,11.719624
60.894207,11.729331
60.89298,11.738785
60.891266,11.750201
60.89307,11.759133
60.895386,11.768632
60.900078,11.768948
60.905678,11.767065
60.910164,11.773983
60.91228,11.784108
60.91513,11.787315
60.920155,11.785555
60.924763,11.780694
