location,axlegroup,startdate,enddate,mean,median,0-1 tonn,1-2 tonn,2-3 tonn,3-4 tonn,4-5 tonn,5-6 tonn,6-7 tonn,7-8 tonn,8-9 tonn,9-10 tonn,10-11 tonn,11-12 tonn,12-13 tonn,13-14 tonn,14-15 tonn,15-16 tonn,16-17 tonn,17-18 tonn,18-19 tonn,19-20 tonn,20-21 tonn,21-22 tonn,22-23 tonn,23-24 tonn,24-25 tonn,25-26 tonn,26-27 tonn,27-28 tonn,28-29 tonn,29-30 tonn
Øysand,Enkeltaksler,2018-03-16,2018-03-16,4.826905204460966,4.795,17,287,124,46,86,139,117,85,59,51,28,24,8,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Øysand,Boggiaksler,2018-03-16,2018-03-16,10.883372781065088,11.045,15,16,12,9,7,5,14,25,19,23,23,26,22,23,16,19,21,10,8,4,3,10,5,1,2,0,0,0,0,0
Øysand,Trippelaksler,2018-03-16,2018-03-16,17.13142857142857,18.65,0,0,1,0,1,0,3,5,5,5,4,3,3,5,1,2,1,2,6,6,13,4,5,2,1,2,1,3,4,3
Øysand,Enkeltaksler,2018-04-03,2018-04-29,5.0896131874515875,5.18,603,13807,7318,3191,4740,7860,7689,6348,4295,3075,1559,861,378,145,56,20,14,3,2,1,1,1,0,0,0,0,0,0,0,0
Øysand,Boggiaksler,2018-04-03,2018-04-29,11.468963291858124,11.719999999999999,545,1014,432,195,374,653,836,1141,1138,1205,1183,1351,1360,1299,1330,1226,1075,774,541,411,418,363,270,123,62,36,5,4,1,2
Øysand,Trippelaksler,2018-04-03,2018-04-29,15.78475082412255,15.41,0,12,7,5,86,162,296,390,512,332,184,160,118,127,134,138,153,143,163,214,267,289,229,158,132,133,168,152,133,77
Øysand,Enkeltaksler,2018-05-22,2018-05-26,5.007732876712328,5.11,118,2712,1365,576,927,1461,1406,1136,809,652,302,126,69,14,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Øysand,Boggiaksler,2018-05-22,2018-05-26,11.811112596951057,11.99,115,175,100,47,66,100,155,269,236,175,190,245,244,224,227,232,208,156,110,99,119,117,68,38,14,6,2,0,0,1
Øysand,Trippelaksler,2018-05-22,2018-05-26,17.22748758689176,17.56,0,0,1,0,18,36,38,60,95,63,35,19,19,14,25,34,35,21,31,27,41,59,49,34,26,33,32,58,45,30
Øysand,Enkeltaksler,2018-06-11,2018-06-30,4.723087222150006,4.45,752,16092,9460,2707,4270,6529,6567,5464,3878,2851,1566,781,417,150,43,12,4,1,0,0,0,0,0,0,0,0,0,0,0,0
Øysand,Boggiaksler,2018-06-11,2018-06-30,11.339259092444543,11.45,581,1108,451,245,349,534,750,1046,1044,1236,1046,1133,1082,1078,1084,1062,926,709,554,382,382,410,304,170,55,27,5,2,1,2
Øysand,Trippelaksler,2018-06-11,2018-06-30,16.24873058144696,16.16,0,8,6,10,75,197,207,308,461,283,167,130,107,77,102,98,113,148,133,178,201,228,225,150,110,101,127,151,149,123
Øysand,Enkeltaksler,2018-06-30,2018-07-11,4.63186584314852,4.3,334,7101,4455,1457,2177,2958,2906,2367,1728,1237,619,289,148,39,13,7,4,4,1,3,1,0,0,0,0,0,0,0,0,0
Øysand,Boggiaksler,2018-06-30,2018-07-11,11.073190213480451,11.02,261,528,250,145,191,279,436,540,452,576,495,511,454,491,558,469,374,260,203,199,196,209,145,72,29,7,2,3,0,0
Øysand,Trippelaksler,2018-06-30,2018-07-11,16.30955128205128,16.575000000000003,0,2,1,7,45,99,110,147,210,119,89,41,45,43,42,57,62,60,78,105,109,118,90,48,54,64,69,101,71,54
Øysand,Enkeltaksler,2018-08-10,2018-08-31,4.853995920833962,4.71,703,16521,9780,3046,4716,6994,7278,6080,4151,3324,1916,939,468,194,48,27,0,2,1,0,0,0,0,0,0,0,0,0,0,0
Øysand,Boggiaksler,2018-08-10,2018-08-31,11.553538446535669,11.41,590,1133,446,317,374,630,1171,1284,1252,1292,1210,1276,1149,1188,1117,1240,1136,722,498,467,454,590,528,292,102,34,12,3,2,0
Øysand,Trippelaksler,2018-08-10,2018-08-31,17.11265930018416,17.410000000000004,2,11,7,10,83,205,197,332,476,344,183,158,141,114,130,123,148,145,178,211,262,266,255,150,112,113,160,222,220,198
Øysand,Enkeltaksler,2018-08-31,2018-09-30,5.006386905595222,4.99,874,19807,11093,4285,6865,9608,10039,8248,5663,4366,2693,1217,600,244,81,23,6,1,1,1,0,0,0,0,0,0,0,0,1,0
Øysand,Boggiaksler,2018-08-31,2018-09-30,11.724575523302457,11.57,756,1378,577,324,525,795,1468,1837,1601,1723,1690,1723,1741,1550,1497,1583,1548,1027,746,637,625,703,643,448,173,59,28,8,2,0
Øysand,Trippelaksler,2018-08-31,2018-09-30,17.22361028684471,17.71,1,10,15,17,117,318,316,378,624,388,242,190,173,150,153,145,176,188,244,291,353,335,235,176,162,171,202,286,349,268
Skibotn,Enkeltaksler,2018-09-30,2018-12-31,5.494462265654043,5.9,153,2858,1838,1474,1236,2073,3028,3130,1562,598,383,298,130,28,15,8,6,3,4,0,0,0,0,0,0,0,0,0,0,0
Skibotn,Boggiaksler,2018-09-30,2018-12-31,12.333634835591974,12.75,46,110,154,128,158,392,541,490,514,459,560,658,693,646,780,799,718,605,506,331,142,65,18,3,2,0,1,0,0,0
Skibotn,Trippelaksler,2018-09-30,2018-12-31,16.055611430395913,16.015,2,8,20,31,62,125,287,311,284,305,282,316,320,278,248,246,233,232,232,265,245,314,401,451,389,207,104,54,7,1
Skibotn,Enkeltaksler,2018-12-31,2019-12-31,4.2998321463755795,2.43,2151,41564,31802,5482,4923,5839,7846,9988,9828,6315,2959,1622,1188,745,422,151,51,30,14,12,6,4,4,4,1,2,0,3,1,0
Skibotn,Boggiaksler,2018-12-31,2019-12-31,12.716553757788661,13.26,308,1105,1812,1023,683,937,1597,1898,1798,1757,1819,1950,2238,2295,2431,2364,2420,2441,2132,1813,1446,1106,801,460,234,83,24,10,4,2
Skibotn,Trippelaksler,2018-12-31,2019-12-31,17.497413396849275,17.21,9,62,115,213,269,334,508,1043,1153,1123,1061,1036,1001,983,1007,907,936,865,846,804,847,863,902,1003,999,1073,1156,1003,741,505
Skibotn,Enkeltaksler,2019-12-31,2020-09-30,4.300504182856083,2.46,1743,35245,44072,6277,2833,2987,4465,5710,6942,7186,5400,2873,1384,901,664,369,204,100,34,25,10,8,2,11,4,1,3,0,1,0
Skibotn,Boggiaksler,2019-12-31,2020-09-30,14.947452680622513,15.67,196,638,1238,538,558,348,571,985,1475,1189,1132,1236,1288,1362,1539,1767,1670,1758,1644,1715,1811,1636,1364,1072,864,595,353,213,92,37
Skibotn,Trippelaksler,2019-12-31,2020-09-30,20.505351928524732,20.689999999999998,6,24,35,73,90,138,201,263,490,764,759,732,686,615,646,638,665,684,617,643,587,636,645,641,683,648,686,785,745,841
Verdal,Enkeltaksler,2015-05-12,2015-05-31,5.202192046139279,5.53,228,3259,1933,1957,2490,3497,4044,3397,1577,503,223,78,28,9,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
