latitude,longitude
60.663803,11.350405
60.656185,11.347106
60.646168,11.339755
60.639584,11.33683
60.633312,11.325063
60.626194,11.31201
60.62149,11.297715
60.62629,11.294824
60.633755,11.298315
60.64185,11.296115
60.65168,11.291824
60.66162,11.290272
60.670982,11.287891
60.680305,11.284641
60.688877,11.279582
60.68818,11.266296
60.687206,11.244755
60.68764,11.22298
60.680424,11.215877
60.677216,11.216318
60.675976,11.217687
60.676933,11.217495
60.68122,11.215377
60.685646,11.21975
60.688442,11.231941
60.68717,11.25089
60.689045,11.271068
60.693607,11.276305
60.7011,11.271747
60.710228,11.280385
60.72173,11.290027
60.7333,11.297337
60.745914,11.300294
60.757164,11.305262
60.768787,11.310135
60.778023,11.305931
60.785114,11.304529
60.788647,11.305385
60.792187,11.307419
60.79756,11.310554
60.799297,11.322295
60.80626,11.330331
60.813126,11.338369
60.816677,11.344948
60.813408,11.35692
60.807514,11.373577
60.802814,11.391559
60.80018,11.410328
60.798367,11.430694
60.79845,11.448055
60.794117,11.466222
60.788097,11.481595
60.78567,11.502908
60.784946,11.51944
60.77895,11.528083
60.772198,11.538214
60.765503,11.543498
60.76012,11.5525
60.75497,11.563491
60.751335,11.568897
60.748104,11.57408
60.745567,11.576695
60.742157,11.581001
60.740562,11.588371
60.73922,11.593154
60.738644,11.593638
60.737144,11.593515
60.73214,11.594087
60.730118,11.596105
60.73245,11.594125
60.73746,11.593576
60.73923,11.593487
60.7413,11.584037
60.74672,11.576342
60.75239,11.567618
60.757854,11.556937
60.764427,11.544835
60.772743,11.537595
60.781822,11.525104
60.785408,11.510335
60.78655,11.512114
60.791317,11.524843
60.79497,11.535626
60.798386,11.551187
60.79794,11.56988
60.79959,11.586094
60.80185,11.602994
60.805332,11.6130495
60.812405,11.607377
60.822586,11.608073
60.83307,11.604196
60.840347,11.592448
60.844147,11.579872
60.85091,11.564018
60.852985,11.557386
60.856434,11.556541
60.854187,11.556679
60.854866,11.55531
60.8583,11.551925
60.85849,11.55247
60.85881,11.553448
60.859634,11.555329
60.86546,11.549057
60.871494,11.54504
60.87796,11.548942
60.880417,11.54984
60.88057,11.550192
60.88019,11.552645
60.881752,11.554991
60.882824,11.558068
60.88344,11.560701
60.885048,11.566231
60.88535,11.566872
60.886612,11.56798
60.889874,11.572657
60.890892,11.573613
60.89349,11.576031
60.896564,11.586554
60.897804,11.590152
60.898216,11.591134
60.89855,11.591744
60.900497,11.595462
60.9059,11.60728
60.90853,11.623808
60.91307,11.6417465
60.920338,11.657312
60.928295,11.670382
60.936504,11.678373
60.945095,11.690068
60.952538,11.700403
60.95991,11.709202
60.967995,11.72231
60.97368,11.7324915
60.979218,11.742421
60.984898,11.755205
60.989624,11.764075
60.996193,11.77049
61.00293,11.7783165
61.010315,11.790167
61.011192,11.811196
61.012115,11.833366
61.01808,11.852734
61.02297,11.861697
61.031303,11.865481
61.039333,11.871016
61.04666,11.881965
61.04853,11.900832
61.048645,11.921534
61.051807,11.93906
61.057774,11.9542
61.0634,11.967952
61.07091,11.97216
61.077183,11.9766445
61.084064,11.982518
61.088703,11.9966955
61.09666,12.003157
61.10455,12.013422
61.10891,12.0366
61.11577,12.050043
61.118706,12.066032
61.11806,12.078038
61.120373,12.088432
61.124878,12.096858
61.125134,12.097384
61.12679,12.100625
61.12978,12.10599
61.134388,12.112263
61.140015,12.117267
61.144302,12.124367
61.14994,12.130165
61.15511,12.135243
61.159733,12.142748
61.16768,12.155376
61.173317,12.168289
61.178886,12.184178
61.186516,12.19508
61.193485,12.20419
61.1975,12.210027
61.200672,12.216536
61.20257,12.219546
61.205837,12.222241
61.207054,12.223017
61.21104,12.225608
61.216885,12.234671
61.22259,12.244665
61.231014,12.253159
61.23785,12.26748
61.24306,12.282207
61.246933,12.29285
61.251297,12.2982235
61.255615,12.30184
61.257835,12.304122
61.258747,12.305211
61.259937,12.306634
61.261745,12.308088
61.263916,12.308197
61.26534,12.30726
61.266113,12.30672
61.266907,12.306127
61.27096,12.298723
